slide_id,Y,Y_hat,p_0,p_1,data_split
1632242,1.0,1.0,0.0016831525135785341,0.9983168840408325,train
1632243,0.0,0.0,0.6032907962799072,0.3967092037200928,train
1632245,0.0,0.0,0.6135950684547424,0.38640493154525757,train
1632256,1.0,0.0,0.508693516254425,0.4913065433502197,train
1632257,1.0,0.0,0.5375950932502747,0.46240490674972534,train
1632261,0.0,0.0,0.9470506310462952,0.05294931307435036,train
1632262,0.0,0.0,0.9952123165130615,0.004787702579051256,train
1632266,1.0,1.0,0.4901445508003235,0.5098554491996765,train
1660116,0.0,0.0,0.9847150444984436,0.015285010449588299,train
1660117,1.0,1.0,0.00045662245247513056,0.9995433688163757,train
1660163,0.0,1.0,0.447902113199234,0.5520979166030884,train
1660174,1.0,0.0,0.5517582893371582,0.4482417106628418,train
1661032,1.0,1.0,0.001828894135542214,0.9981710910797119,train
1661033,1.0,0.0,0.5008218288421631,0.4991782009601593,train
1661034,1.0,1.0,0.47079798579216003,0.5292020440101624,train
1661035,1.0,0.0,0.5087854266166687,0.4912145733833313,train
1661261,1.0,1.0,0.0035494519397616386,0.9964505434036255,train
1661262,0.0,0.0,0.6053479909896851,0.39465200901031494,train
1661263,0.0,1.0,0.3802717328071594,0.6197282671928406,train
1661264,0.0,0.0,0.9993516802787781,0.0006483234465122223,train
1661265,0.0,0.0,0.9891730546951294,0.01082693226635456,train
1661270,0.0,0.0,0.5342382788658142,0.46576178073883057,train
1661271,1.0,1.0,0.38765257596969604,0.6123474836349487,train
1661272,1.0,0.0,0.5557591319084167,0.44424086809158325,train
1680430,1.0,0.0,0.5850303173065186,0.4149697422981262,train
1680451,0.0,0.0,0.70970618724823,0.29029375314712524,train
1680469,1.0,1.0,0.38644078373908997,0.6135592460632324,train
1680473,1.0,0.0,0.6514027118682861,0.34859731793403625,train
1680490,0.0,0.0,0.6510525941848755,0.3489474654197693,train
1680503,0.0,0.0,0.707443356513977,0.29255667328834534,train
1680505,1.0,1.0,0.36613941192626953,0.6338605284690857,train
1680567,0.0,0.0,0.9935979843139648,0.006402046885341406,train
1680630,0.0,1.0,0.37475889921188354,0.6252410411834717,train
1680648,1.0,1.0,0.0008635128033347428,0.9991365075111389,train
1680650,0.0,0.0,0.996826708316803,0.0031732742208987474,train
1680652,1.0,1.0,0.0005545459571294487,0.9994454979896545,train
1680653,0.0,0.0,0.5357534885406494,0.4642465114593506,train
1680659,1.0,0.0,0.6228676438331604,0.3771324157714844,train
1683508,1.0,0.0,0.5041784644126892,0.4958215057849884,train
1683521,0.0,0.0,0.986535370349884,0.013464576564729214,train
1683531,1.0,1.0,0.00027992500690743327,0.99972003698349,train
1683533,0.0,0.0,0.5405080318450928,0.4594919979572296,train
1683536,0.0,0.0,0.9495071768760681,0.05049281194806099,train
1683551,1.0,0.0,0.6576368808746338,0.3423630893230438,train
1683577,0.0,0.0,0.7916427850723267,0.20835722982883453,train
1683583,0.0,0.0,0.680770218372345,0.31922978162765503,train
1683587,0.0,0.0,0.8976858854293823,0.10231415182352066,train
1683591,0.0,0.0,0.5476966500282288,0.45230337977409363,train
1683593,0.0,0.0,0.5882673859596252,0.41173264384269714,train
1683596,0.0,0.0,0.7008293867111206,0.2991706132888794,train
1683602,1.0,1.0,0.4374658167362213,0.5625341534614563,train
1683605,1.0,0.0,0.5954579710960388,0.40454205870628357,train
1683608,1.0,1.0,0.0010591516038402915,0.9989408850669861,train
1683623,0.0,0.0,0.8365342020988464,0.16346581280231476,train
1683628,0.0,0.0,0.6646024584770203,0.33539751172065735,train
1683643,0.0,0.0,0.616241991519928,0.38375794887542725,train
1683651,1.0,1.0,0.0016742892330512404,0.9983256459236145,train
1683656,1.0,1.0,0.48375600576400757,0.5162439942359924,train
1683660,1.0,1.0,0.491341769695282,0.508658230304718,train
1683661,1.0,1.0,0.002328660571947694,0.9976713061332703,train
1683670,1.0,0.0,0.6040597558021545,0.39594024419784546,train
1683672,0.0,0.0,0.9997318387031555,0.00026813647127710283,train
1683676,1.0,1.0,0.40387162566185,0.5961284041404724,train
1683698,0.0,0.0,0.5982659459114075,0.40173405408859253,train
1683796,0.0,0.0,0.9946379065513611,0.005362139083445072,train
1683818,1.0,1.0,0.003252942580729723,0.9967470169067383,train
1683837,0.0,0.0,0.678912878036499,0.321087121963501,train
1683842,0.0,0.0,0.5665130019187927,0.4334869980812073,train
1683849,1.0,0.0,0.5823684930801392,0.4176315665245056,train
1683855,0.0,0.0,0.9697492122650146,0.03025083802640438,train
1683867,0.0,0.0,0.9988716244697571,0.001128381583839655,train
1683878,0.0,0.0,0.7216460704803467,0.2783539593219757,train
1683879,0.0,0.0,0.634131908416748,0.3658680319786072,train
1683880,0.0,0.0,0.8031310439109802,0.19686895608901978,train
1683881,0.0,0.0,0.5853818655014038,0.4146181344985962,train
1683883,1.0,0.0,0.6487891674041748,0.3512108623981476,train
1683884,1.0,0.0,0.5002008080482483,0.4997991919517517,train
1683885,0.0,0.0,0.6408663988113403,0.35913363099098206,train
1683886,1.0,1.0,0.0016994485631585121,0.9983006119728088,train
1683887,0.0,0.0,0.8226877450942993,0.1773122102022171,train
1683888,1.0,1.0,0.0021513914689421654,0.997848629951477,train
1683889,0.0,0.0,0.5598343014717102,0.4401656985282898,train
1683890,1.0,1.0,0.42289042472839355,0.5771095752716064,train
1660124,0.0,0.0,0.9957144856452942,0.004285456147044897,train
1661260,0.0,0.0,0.638931393623352,0.3610686659812927,train
1680457,1.0,0.0,0.5449486970901489,0.4550512731075287,train
1680463,0.0,0.0,0.6446866393089294,0.35531333088874817,train
1683599,1.0,1.0,0.0011740257032215595,0.9988259673118591,train
1632234,0.0,0.0,0.7491891980171204,0.25081077218055725,train
1632235,0.0,0.0,0.9720147848129272,0.027985241264104843,train
1632236,0.0,0.0,0.5795889496803284,0.42041105031967163,train
1632237,1.0,0.0,0.5049262046813965,0.4950737953186035,train
1632238,1.0,1.0,0.00241468264721334,0.9975852966308594,train
1632253,1.0,1.0,0.38966095447540283,0.6103389859199524,train
1632255,1.0,1.0,0.34948042035102844,0.6505195498466492,train
1632259,0.0,0.0,0.9977286458015442,0.0022713111247867346,train
1680484,0.0,0.0,0.7750535011291504,0.22494646906852722,train
1680560,1.0,0.0,0.7527170181274414,0.2472829967737198,train
1683688,1.0,1.0,0.31989729404449463,0.6801026463508606,train
1683706,0.0,0.0,0.631935179233551,0.36806488037109375,train
